week_1,week_2,week_3,week_4
0.021423611,0.167175926,0.054467593,0.082627315
NA,NA,3.374710648,NA
NA,NA,NA,NA
2.13818287,2.343877315,0.251111111,0.106168981
3.788773148,3.896631944,0.832824074,0.288321759
NA,4.901076389,1.886458333,2.930023148
1.025219907,2.047152778,0.98349537,0.149560185
0.128553241,0.012939815,0.039560185,0.12505787
NA,NA,NA,NA
3.938854167,0.9021875,6.904930556,0.095034722
1.36130787,0.143449074,0.325011574,0.048622685
1.240844907,1.009386574,0.00462963,0.958287037
NA,NA,NA,NA
2.262986111,6.151284722,0.067256944,3.355914352
0.983206019,1.238460648,0.047916667,0.045902778
0.945694444,1.016539352,0.030972222,0.043229167
0.924201389,0.232372685,0.032638889,0.093530093
0.187928241,0.085902778,0.007777778,0.179409722
NA,NA,NA,NA
NA,3.860578704,0.219456019,1.917708333
1.176805556,1.988275463,0.043229167,0.927048611
0.134895833,0.044490741,0.109305556,0.181377315
0.029479167,0.118518519,0.072256944,1.048819444
0.007060185,0.081527778,0.002453704,0.280856481
4.084467593,1.373275463,0.031388889,0.065405093
3.063668981,0.10400463,0.218032407,0.070416667
4.008599537,NA,0.116458333,NA
NA,NA,NA,NA
2.257638889,1.862951389,0.221331019,0.050300926
1.960775463,0.104826389,0.276493056,0.020590278
NA,NA,NA,5.981631944
0.298171296,2.175775463,0.12630787,0.035347222
1.042152778,1.038969907,0.958148148,0.160844907
1.046481481,0.243356481,0.116168981,0.090729167
0.009733796,1.262002315,2.021099537,0.062175926
1.980104167,6.042916667,0.94880787,2.172314815
1.892777778,0.255694444,0.229722222,0.072314815
NA,NA,0.792395833,3.817268519
0.86369213,4.083622685,0.1071875,0.962743056
NA,NA,1.951747685,5.069837963
