activeStart,activeEnd,locationAbbr,locationID
"2018-09-18 14:11:00","2018-09-25 08:31:38","91 St B",30
"2018-08-28 14:57:25","2018-09-04 14:23:14","WFG main A",31
"2018-09-04 14:24:37","2018-09-11 14:17:50","WFG main A",31
"2018-09-11 14:19:00","2018-09-18 14:28:14","WFG main A",31
"2018-09-18 14:29:00","2018-09-25 12:27:07","WFG main A",31
"2018-08-28 15:07:56","2018-09-04 14:28:16","WFG main B",32
"2018-09-04 14:29:25","2018-09-11 14:31:11","WFG main B",32
"2018-09-11 14:33:00","2018-09-18 14:32:55","WFG main B",32
"2018-09-18 14:34:00","2018-09-25 06:37:10","WFG main B",32
"2018-08-28 15:45:21","2018-09-04 14:54:08","Deerpath A",33
"2018-09-04 14:55:32","2018-09-11 14:59:13","Deerpath A",33
"2018-09-11 15:01:00","2018-09-18 15:03:58","Deerpath A",33
"2018-09-18 15:05:00","2018-09-25 14:47:25","Deerpath A",33
"2018-08-28 15:39:34","2018-09-04 15:03:48","Deerpath B",34
"2018-09-04 15:05:19","2018-09-11 14:58:30","Deerpath B",34
"2018-09-11 05:00:00","2018-09-18 05:00:00","Deerpath B",34
"2018-09-18 15:06:00","2018-09-25 13:37:38","Deerpath B",34
"2018-08-28 16:09:07","2018-09-04 15:27:00","Front ninja A",35
"2018-09-04 15:28:02","2018-09-11 15:26:21","Front ninja A",35
"2018-09-11 15:28:00","2018-09-18 15:25:42","Front ninja A",35
"2018-09-18 15:27:00","2018-09-23 01:47:17","Front ninja A",35
"2018-08-28 16:18:00","2018-09-04 15:29:57","Front ninja B",36
"2018-09-04 15:31:17","2018-09-11 15:29:47","Front ninja B",36
"2018-09-11 15:32:00","2018-09-18 15:29:24","Front ninja B",36
"2018-09-18 15:30:00","2018-09-25 10:22:48","Front ninja B",36
"2018-08-28 16:40:14","2018-09-04 15:53:08","Lemont 101 A",37
"2018-09-04 15:54:13","2018-09-11 15:52:06","Lemont 101 A",37
"2018-09-11 15:54:00","2018-09-18 15:51:23","Lemont 101 A",37
"2018-09-18 15:52:00","2018-09-25 15:41:37","Lemont 101 A",37
"2018-08-28 16:47:12","2018-09-04 15:54:08","Lemont 101 B",38
"2018-09-04 15:55:28","2018-09-11 15:54:20","Lemont 101 B",38
"2018-09-11 15:56:00","2018-09-18 15:53:47","Lemont 101 B",38
"2018-09-18 15:55:00","2018-09-25 15:39:43","Lemont 101 B",38
"2018-08-28 17:21:33","2018-09-04 16:24:00","WFG right A",39
"2018-09-04 16:25:19","2018-09-11 16:21:34","WFG right A",39
"2018-09-11 16:24:00","2018-09-18 16:20:02","WFG right A",39
"2018-09-18 16:21:00","2018-09-25 16:42:23","WFG right A",39
"2018-08-28 17:31:12","2018-09-04 16:34:55","WFG right B",40
"2018-09-04 16:35:51","2018-09-11 16:31:49","WFG right B",40
