week_1,week_2,week_3,week_4
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,2
1,5,0,1
0,0,0,0
0,0,0,0
21,3,33,11
0,0,0,0
0,0,0,2
3,14,12,0
5,10,13,12
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,2
0,0,1,0
3,4,2,3
0,0,0,0
0,0,0,0
1,8,6,3
0,0,0,0
6,8,2,0
0,0,0,0
9,4,19,9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,12,37,25
0,0,0,0
0,0,0,0
0,1,2,0
0,2,1,0
0,0,0,0
0,0,0,0
0,0,4,13
0,0,0,0
0,3,6,12
0,0,0,0
