"V1","V2","V3","V4"
12,24,29,25
0,0,1,0
0,0,0,0
1,8,12,19
1,4,24,18
0,1,3,2
3,5,16,21
25,14,26,33
0,0,0,0
1,4,0,6
11,12,17,12
15,5,13,10
0,0,0,0
2,3,3,4
13,15,37,53
1,0,88,50
36,38,51,30
18,28,42,23
0,0,0,0
0,8,5,10
8,8,6,7
21,17,26,15
8,6,21,14
3,5,28,14
4,5,7,23
2,6,5,15
1,0,6,0
0,0,0,0
14,21,20,25
21,22,66,82
0,0,0,1
8,5,19,12
9,9,11,12
7,8,20,18
5,16,5,10
5,1,1,3
12,26,21,10
0,0,1,2
5,18,29,31
0,0,1,6
