"V1","V2","V3","V4"
0,0,1,1
0,0,1,0
0,0,0,0
0,0,0,1
0,0,3,0
0,0,0,0
1,4,0,4
1,2,0,6
0,0,0,0
0,0,0,0
1,0,0,0
0,2,0,0
0,0,0,0
19,6,0,0
0,3,2,2
1,0,2,0
1,0,0,1
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,4,0,0
0,0,0,2
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,1
0,0,0,0
0,4,10,2
2,1,1,1
1,0,3,0
1,2,1,0
0,0,0,0
0,0,0,0
0,1,0,2
0,0,1,0
0,0,0,0
0,0,0,0
2,3,6,2
0,0,0,0
